,Monthly Nominal GDP Index,Monthly Real GDP Index,,
1992 - Jan,6315.725,10177.827,,
1992 - Feb,6356.505,10222.906,,
1992 - Mar,6417.077,10307.949,,
1992 - Apr,6443.256,10314.307,,
1992 - May,6433.810,10293.475,,
1992 - Jun,6535.223,10433.820,,
1992 - Jul,6557.303,10451.329,,
1992 - Aug,6556.896,10431.169,,
1992 - Sep,6585.724,10465.870,,
1992 - Oct,6637.240,10524.992,,
1992 - Nov,6680.232,10555.455,,
1992 - Dec,6724.937,10594.714,,
1993 - Jan,6718.510,10578.478,,
1993 - Feb,6741.428,10594.470,,
1993 - Mar,6728.439,10555.052,,
1993 - Apr,6767.891,10596.264,,
1993 - May,6824.303,10659.361,,
1993 - Jun,6834.622,10657.040,,
1993 - Jul,6832.665,10631.599,,
1993 - Aug,6874.147,10675.009,,
1993 - Sep,6939.482,10758.316,,
1993 - Oct,6944.536,10753.383,,
1993 - Nov,7035.942,10860.542,,
1993 - Dec,7060.736,10887.178,,
1994 - Jan,7074.389,10886.241,,
1994 - Feb,7122.904,10947.627,,
1994 - Mar,7149.663,10982.629,,
1994 - Apr,7186.466,11019.145,,
1994 - May,7290.066,11127.613,,
1994 - Jun,7264.260,11114.413,,
1994 - Jul,7299.324,11118.485,,
1994 - Aug,7351.545,11193.591,,
1994 - Sep,7342.356,11143.723,,
1994 - Oct,7429.173,11246.986,,
1994 - Nov,7431.642,11239.438,,
1994 - Dec,7505.049,11352.971,,
1995 - Jan,7542.296,11356.557,,
1995 - Feb,7488.440,11272.200,,
1995 - Mar,7536.131,11331.012,,
1995 - Apr,7539.264,11297.399,,
1995 - May,7560.694,11327.574,,
1995 - Jun,7643.033,11436.581,,
1995 - Jul,7630.441,11379.875,,
1995 - Aug,7674.162,11441.694,,
1995 - Sep,7744.772,11529.892,,
1995 - Oct,7747.162,11480.581,,
1995 - Nov,7747.771,11499.134,,
1995 - Dec,7822.824,11605.570,,
1996 - Jan,7839.923,11583.810,,
1996 - Feb,7853.001,11600.089,,
1996 - Mar,7912.480,11661.243,,
1996 - Apr,8025.228,11818.630,,
1996 - May,8009.306,11777.130,,
1996 - Jun,8063.986,11830.566,,
1996 - Jul,8099.354,11876.263,,
1996 - Aug,8123.032,11909.605,,
1996 - Sep,8171.838,11957.741,,
1996 - Oct,8250.709,12038.982,,
1996 - Nov,8281.817,12061.706,,
1996 - Dec,8246.787,12013.970,,
1997 - Jan,8308.856,12085.296,,
1997 - Feb,8385.600,12170.658,,
1997 - Mar,8393.509,12091.745,,
1997 - Apr,8511.392,12359.824,,
1997 - May,8476.490,12240.838,,
1997 - Jun,8568.592,12352.261,,
1997 - Jul,8620.374,12449.704,,
1997 - Aug,8655.672,12482.038,,
1997 - Sep,8712.422,12482.571,,
1997 - Oct,8748.267,12563.091,,
1997 - Nov,8736.371,12535.848,,
1997 - Dec,8813.083,12634.781,,
1998 - Jan,8772.701,12571.160,,
1998 - Feb,8894.547,12753.718,,
1998 - Mar,8932.192,12787.492,,
1998 - Apr,8925.511,12761.604,,
1998 - May,8953.130,12795.009,,
1998 - Jun,9030.456,12908.311,,
1998 - Jul,9049.687,12879.536,,
1998 - Aug,9100.781,12947.897,,
1998 - Sep,9212.823,13121.488,,
1998 - Oct,9266.796,13165.882,,
1998 - Nov,9307.056,13218.803,,
1998 - Dec,9308.121,13190.960,,
1999 - Jan,9357.773,13223.699,,
1999 - Feb,9410.992,13327.558,,
1999 - Mar,9466.281,13396.196,,
1999 - Apr,9496.031,13396.375,,
1999 - May,9536.807,13442.850,,
1999 - Jun,9545.792,13441.765,,
1999 - Jul,9659.138,13562.409,,
1999 - Aug,9660.685,13601.763,,
1999 - Sep,9740.055,13650.828,,
1999 - Oct,9819.698,13720.485,,
1999 - Nov,9890.740,13811.953,,
1999 - Dec,9990.069,13951.858,,
2000 - Jan,9924.233,13812.336,,
2000 - Feb,9995.336,13871.520,,
2000 - Mar,10086.968,13951.068,,
2000 - Apr,10224.854,14133.218,,
2000 - May,10232.034,14113.437,,
2000 - Jun,10286.272,14146.427,,
2000 - Jul,10234.187,14056.677,,
2000 - Aug,10336.063,14171.453,,
2000 - Sep,10384.244,14208.047,,
2000 - Oct,10435.227,14247.149,,
2000 - Nov,10445.460,14232.537,,
2000 - Dec,10426.545,14210.542,,
2001 - Jan,10467.681,14214.493,,
2001 - Feb,10463.020,14185.259,,
2001 - Mar,10479.992,14151.045,,
2001 - Apr,10565.338,14259.751,,
2001 - May,10640.006,14328.019,,
2001 - Jun,10591.656,14228.870,,
2001 - Jul,10585.176,14183.255,,
2001 - Aug,10699.214,14347.253,,
2001 - Sep,10509.670,14114.480,,
2001 - Oct,10639.775,14235.151,,
2001 - Nov,10587.649,14159.350,,
2001 - Dec,10753.971,14367.992,,
2002 - Jan,10786.899,14408.658,,
2002 - Feb,10748.901,14322.714,,
2002 - Mar,10814.699,14388.822,,
2002 - Apr,10858.426,14444.877,,
2002 - May,10870.048,14442.495,,
2002 - Jun,10933.906,14496.983,,
2002 - Jul,11001.836,14575.239,,
2002 - Aug,10952.327,14491.454,,
2002 - Sep,10997.957,14493.774,,
2002 - Oct,10999.083,14481.104,,
2002 - Nov,11053.235,14523.646,,
2002 - Dec,11131.981,14609.319,,
2003 - Jan,11135.847,14595.878,,
2003 - Feb,11210.351,14652.407,,
2003 - Mar,11176.189,14595.681,,
2003 - Apr,11256.972,14673.512,,
2003 - May,11275.212,14690.096,,
2003 - Jun,11406.114,14869.014,,
2003 - Jul,11468.599,14910.235,,
2003 - Aug,11567.493,14985.297,,
2003 - Sep,11663.916,15072.809,,
2003 - Oct,11699.767,15093.026,,
2003 - Nov,11786.119,15181.942,,
2003 - Dec,11830.815,15215.250,,
2004 - Jan,11805.932,15134.366,,
2004 - Feb,11926.516,15258.478,,
2004 - Mar,12037.893,15355.141,,
2004 - Apr,12036.134,15311.370,,
2004 - May,12175.735,15446.432,,
2004 - Jun,12126.576,15344.777,,
2004 - Jul,12279.383,15482.641,,
2004 - Aug,12300.525,15520.985,,
2004 - Sep,12336.013,15536.293,,
2004 - Oct,12471.393,15653.425,,
2004 - Nov,12514.840,15649.561,,
2004 - Dec,12595.408,15711.720,,
2005 - Jan,12747.941,15854.704,,
2005 - Feb,12751.116,15826.082,,
2005 - Mar,12802.802,15855.504,,
2005 - Apr,12859.306,15896.691,,
2005 - May,12881.897,15863.329,,
2005 - Jun,13026.765,16010.341,,
2005 - Jul,13096.053,16037.209,,
2005 - Aug,13153.237,16078.094,,
2005 - Sep,13178.636,16029.517,,
2005 - Oct,13235.122,16064.167,,
2005 - Nov,13300.280,16112.888,,
