Data,"PIB - R$ (milhões)  - Banco Central do Brasil, Boletim, Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12 - "
1995.01,47028.6000
1995.02,49954.5000
1995.03,60024.3000
1995.04,57789.5000
1995.05,56350.5000
1995.06,56726.2000
1995.07,58788.1000
1995.08,60950.3000
1995.09,60610.8000
1995.10,63428.1000
1995.11,67762.9000
1995.12,66577.7000
1996.01,64133.3000
1996.02,62202.2000
1996.03,62987.8000
1996.04,64019.1000
1996.05,69488.7000
1996.06,71103.0000
1996.07,74969.9000
1996.08,74798.8000
1996.09,71744.6000
1996.10,77200.1000
1996.11,80449.1000
1996.12,81667.1000
1997.01,77582.6000
1997.02,71072.8000
1997.03,70461.6000
1997.04,73576.4000
1997.05,78110.8000
1997.06,81202.4000
1997.07,82058.7000
1997.08,82132.5000
1997.09,81987.3000
1997.10,87297.2000
1997.11,85390.1000
1997.12,81216.8000
1998.01,79363.9000
1998.02,75828.1000
1998.03,80508.7000
1998.04,81166.1000
1998.05,85207.5000
1998.06,85562.4000
1998.07,86938.5000
1998.08,86371.3000
1998.09,84733.5000
1998.10,87302.8000
1998.11,86316.5000
1998.12,83051.8000
1999.01,80936.3000
1999.02,80929.1000
1999.03,88802.6000
1999.04,87739.0000
1999.05,89223.0000
1999.06,91746.9000
1999.07,91230.4000
1999.08,92283.4000
1999.09,90611.8000
1999.10,95872.4000
1999.11,99563.1000
1999.12,98772.5000
2000.01,92576.6000
2000.02,91770.4000
2000.03,92579.9000
2000.04,91376.2000
2000.05,98727.0000
2000.06,102685.4000
2000.07,103410.4000
2000.08,105177.8000
2000.09,100307.6000
2000.10,106951.1000
2000.11,107678.0000
2000.12,105851.6000
2001.01,102530.7000
2001.02,101635.3000
2001.03,108303.8000
2001.04,107572.0000
2001.05,111202.2000
2001.06,104949.4000
2001.07,110758.9000
2001.08,113064.7000
2001.09,108700.8000
2001.10,116139.0000
2001.11,117882.0000
2001.12,113016.7000
2002.01,112374.8000
2002.02,111477.1000
2002.03,118444.7000
2002.04,120385.9000
2002.05,123552.5000
2002.06,123424.4000
2002.07,126856.6000
2002.08,127800.1000
2002.09,125137.8000
2002.10,133125.4000
2002.11,135966.6000
2002.12,130241.2000
2003.01,127177.5000
2003.02,131373.6000
2003.03,138690.5000
2003.04,141388.1000
2003.05,139605.8000
2003.06,137993.4000
2003.07,145970.6000
2003.08,144819.4000
2003.09,148559.8000
2003.10,154925.9000
2003.11,153644.4000
2003.12,153801.4000
2004.01,144558.6000
2004.02,142861.3000
2004.03,157363.5000
2004.04,156953.9000
2004.05,159498.9000
2004.06,165342.2000
2004.07,171370.9000
2004.08,169178.9000
2004.09,164702.5000
2004.10,170536.5000
2004.11,176921.5000
2004.12,178462.4000
2005.01,163540.1000
2005.02,160701.6000
2005.03,175468.7000
2005.04,177179.0000
2005.05,177496.7000
2005.06,180881.8000
2005.07,184073.7000
2005.08,187246.6000
2005.09,181538.9000
2005.10,189183.0000
2005.11,194794.5000
2005.12,198480.0000
2006.01,185564.8000
2006.02,178482.2000
2006.03,190223.3000
2006.04,185030.6000
2006.05,197874.3000
2006.06,199071.9000
2006.07,206974.4000
2006.08,209818.0000
2006.09,201055.4000
2006.10,214271.7000
2006.11,219724.2000
2006.12,221359.3000
2007.01,211130.7000
2007.02,202704.1000
2007.03,217588.9000
2007.04,215128.8000
2007.05,226537.9000
2007.06,228988.6000
2007.07,233824.1000
2007.08,235019.1000
2007.09,223002.7000
2007.10,241939.4000
2007.11,241938.4000
2007.12,242460.2000
2008.01,237247.7000
2008.02,232680.4000
2008.03,242124.4000
2008.04,248793.8000
2008.05,254936.9000
2008.06,265791.2000
2008.07,278095.6000
2008.08,269235.6000
2008.09,265271.2000
2008.10,280522.5000
2008.11,270698.8000
2008.12,264404.8000
2009.01,249934.4000
2009.02,244024.5000
2009.03,262181.7000
2009.04,259563.5000
2009.05,268324.0000
2009.06,275701.2000
2009.07,285444.2000
2009.08,284240.4000
2009.09,283157.9000
2009.10,301895.9000
2009.11,305048.8000
2009.12,313522.8000
2010.01,288972.8000
2010.02,285723.2000
2010.03,311651.6000
2010.04,307083.5000
2010.05,315988.4000
2010.06,321023.2000
2010.07,332454.2000
2010.08,334225.6000
2010.09,331255.9000
2010.10,344963.8000
2010.11,356707.5000
2010.12,355797.4000
2011.01,333255.6000
2011.02,334982.0000
2011.03,347879.6000
2011.04,349049.3000
2011.05,366256.2000
2011.06,370951.2000
2011.07,373143.3000
2011.08,376769.3000
2011.09,361724.6000
2011.10,378491.0000
2011.11,389560.8000
2011.12,391595.1000
2012.01,367215.4000
2012.02,367177.3000
2012.03,392996.5000
2012.04,381795.3000
2012.05,400281.3000
2012.06,398714.5000
2012.07,414617.4000
2012.08,419906.3000
2012.09,393524.7000
2012.10,422672.1000
2012.11,423816.4000
2012.12,423195.9000
2013.01,414131.8000
2013.02,398645.4000
2013.03,427409.8000
2013.04,438856.8000
2013.05,439054.2000
2013.06,442857.0000
2013.07,458458.9000
2013.08,452862.2000
2013.09,438766.7000
2013.10,466166.0000
2013.11,465693.8000
2013.12,473552.5000
2014.01,455935.0000
2014.02,450358.8000
2014.03,462159.8000
2014.04,468767.5000
2014.05,473347.1000
2014.06,458516.5000
2014.07,481994.0000
2014.08,477052.9000
2014.09,476520.6000
2014.10,493304.7000
2014.11,489484.4000
2014.12,499867.7000
2015.01,472913.9000
2015.02,460156.7000
2015.03,501752.2000
2015.04,486614.6000
2015.05,483239.7000
2015.06,486647.5000
2015.07,502275.2000
2015.08,492505.7000
2015.09,496004.7000
2015.10,518828.9000
2015.11,513819.8000
2015.12,521918.7000
2016.01,490284.0000
2016.02,491011.7000
2016.03,516985.9000
2016.04,508058.7000
2016.05,513267.5000
2016.06,536459.3000
2016.07,532947.8000
2016.08,534761.8000
2016.09,509975.0000
2016.10,525162.7000
2016.11,541530.7000
2016.12,565780.5000
2017.01,526564.7000
2017.02,514120.5000
2017.03,544312.9000
2017.04,525238.1000
2017.05,548887.7000
2017.06,556787.6000
2017.07,557458.2000
2017.08,555578.7000
2017.09,528871.2000
2017.10,549304.7000
2017.11,566209.3000
2017.12,588892.8000
2018.01,555644.6000
2018.02,528905.5000
2018.03,560120.7000
2018.04,559359.8000
2018.05,547016.5000
2018.06,580697.8000
2018.07,583054.8000
2018.08,582756.7000
2018.09,556776.6000
2018.10,591983.9000
2018.11,593926.9000
2018.12,603155.2000
2019.01,578452.6000
2019.02,567984.5000
2019.03,579172.6000
2019.04,592916.0000
2019.05,604607.4000
2019.06,598283.0000
2019.07,627049.7000
2019.08,616157.6000
2019.09,614187.9000
2019.10,641340.1000
2019.11,634826.2000
2019.12,646343.1000
2020.01,617747.2000
2020.02,609810.8000
2020.03,616335.3000
2020.04,555387.4000
2020.05,561628.4000
2020.06,591537.3000
2020.07,629700.9000
2020.08,625136.3000
2020.09,635263.9000
2020.10,661149.0000
2020.11,665182.8000
2020.12,685042.6000
2021.01,653790.4000
2021.02,676255.0000
2021.03,735993.6000
2021.04,713652.1000
2021.05,712134.2000
2021.06,714893.3000
2021.07,743091.8000
2021.08,740615.1000
2021.09,745774.4000
2021.10,755323.0000
2021.11,771558.9000
2021.12,782833.5000
2022.01,722909.9000
2022.02,754147.4000
2022.03,838868.0000
2022.04,819727.6000
2022.05,826052.1000
2022.06,826025.7000
2022.07,852909.9000
2022.08,854004.1000
2022.09,836785.8000
2022.10,877947.5000
2022.11,879514.9000
